code,league,name,city
2001,nfl,Bills,Buffalo
2002,nfl,Dolphins,Miami
2003,nfl,Patriots,New England 
2004,nfl,Jets,New York
2005,nfl,Ravens,Baltimore
2006,nfl,Bengals,Cincinnati
2007,nfl,Browns,Cleveland
2008,nfl,Steelers,Pittsburgh
2009,nfl,Texans,Houston
2010,nfl,Colts,Indianapolis
2011,nfl,Jaguars,Jacksonville
2012,nfl,Titans,Tennessee
2013,nfl,Broncos,Denver
2014,nfl,Chiefs,Kansas City
2015,nfl,Raiders,Oakland
2016,nfl,Chargers,Los Angeles
2017,nfl,Cowboys,Dallas
2018,nfl,Giants,New York
2019,nfl,Eagles,Philadelphia
2020,nfl,WTF,Washington 
2021,nfl,Bears,Chicago
2022,nfl,Lions,Detroit
2023,nfl,Packers,Green Bay
2024,nfl,Vikings,Minnesota
2025,nfl,Falcons,Atlanta
2026,nfl,Panthers,Carolina
2027,nfl,Saints,New Orleans
2028,nfl,Buccaneers,Tampa Bay
2029,nfl,Cadinals,Arizona
2030,nfl,Rams,Los Angeles
2031,nfl,49ers,San Francisco
2032,nfl,Seahawks,Seattle
